Date,SX5E,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/2/22,5024.05,6.741256714,20.24637794,162.6066589,31.81791687,95.78630066,7.328852177,23.39811325,11.76103401,12.01307774,9.445203781,14.04667473,38.91374588,151.8553467,38.9362793,10.31030369,10.24128246,4.887308121,27.91241455,36.27095795,34.54034805,28.55149841,30.49685669,13.46433926,29.43225098,33.87375259,13.76320171,16.04238892,35.61725998,26.55586815,30.03684425
2000/2/23,5086,6.498859406,20.36759949,162.859024,33.20132065,95.47044373,7.429721832,23.29152679,11.45332813,11.64511013,9.547389984,14.39738178,40.05121994,154.9570923,38.58825302,10.49551487,10.44975567,4.964885235,27.39272308,36.401577,36.76287842,29.18864632,32.27235413,13.44061661,29.43225098,32.347435,13.97158337,16.19232178,36.50006866,26.16724014,28.36813927
2000/2/24,5117.41,6.420244217,19.66445923,162.1249695,33.35223389,101.6032257,7.234286785,22.75853157,11.19691181,11.64511013,9.591836929,14.59028053,41.75743484,167.8809662,39.5888443,10.49551487,10.42369938,4.964885235,26.89467049,35.70780182,38.91254044,30.02260971,31.26275635,13.32993507,28.95312309,33.72705078,13.71474171,16.04238892,36.07383728,26.40041351,28.47939873
2000/2/25,5208.87,6.577474594,19.20374489,163.0883179,33.22646332,107.3561401,7.117653847,22.81183052,10.94049168,11.68840218,9.462979317,14.43247128,45.67874908,165.4253998,38.71876144,10.37203979,10.50187302,5.003675461,28.4970932,36.43419266,42.81108093,30.02260971,31.50644684,13.7410574,28.54246712,32.7289772,13.67113781,16.04238892,35.31282806,26.27087593,28.14565659
2000/2/28,5126.33,6.941725731,19.0097599,166.4143524,32.61022568,105.5864563,7.391894817,22.83847618,10.59863472,11.30311775,9.485203743,14.23957443,44.90047455,165.7484894,39.1103096,10.49551487,10.42369938,5.042463303,29.19002724,35.87514877,41.53585052,28.35468864,30.49685669,13.55921173,28.74779892,32.2887001,13.52571583,16.04238892,35.31282806,26.63358879,29.48062706
2000/2/29,5182.62,7.20639801,19.40254402,164.6940308,33.26423264,110.6444702,7.47069931,23.33945656,10.74392414,11.54121304,9.276385307,14.37984562,47.14550018,184.8112335,40.17614746,10.55105495,10.42369938,5.081252575,30.31604958,35.91188049,41.53585052,28.72162437,30.11390495,13.51968193,28.89839363,32.61159515,13.69048977,15.6675787,35.61725998,27.17767334,29.14689255
2000/3/1,5235.14,7.20639801,19.39288902,160.6569366,35.28897858,115.5129547,7.281567574,22.75853157,10.34222126,11.64943981,8.952082634,14.69550037,45.46920776,190.1100006,40.02388382,10.37203979,10.44975567,4.964885235,29.53649712,35.09159088,43.39403534,30.68644142,31.75014877,13.83593082,28.20020294,32.87575912,13.77290249,16.04238892,35.92169189,27.20356369,29.48062706
2000/3/2,5406.37,7.730498791,19.66445923,164.2352753,37.45207977,114.7540512,7.391894817,22.83847618,10.34222126,11.64511013,9.263051987,14.53768826,45.08007813,180.934021,40.32841492,10.4584837,10.26734066,4.887308121,29.12939835,35.8914299,42.81108093,33.15163422,31.10610199,14.0731163,28.06334686,36.10467529,13.9570303,16.04238892,35.00839233,26.16724014,30.92680359
2000/3/3,5450.22,7.168399811,20.17363167,157.3538971,38.06832123,118.8004532,7.157057285,22.33213615,10.68407536,11.25549507,9.036491394,15.13392735,44.66100311,189.9161377,40.67644882,10.37203979,10.24128246,4.809731007,28.56205177,35.50785446,42.41029358,34.32584,33.16011047,14.38145924,28.61086273,37.10268402,13.97643375,16.02739716,34.92315674,26.42632866,27.8563652
2000/3/6,5464.43,6.688846111,20.07664108,155.6564941,36.9742012,115.6393051,7.289447784,22.39073563,10.42765903,11.16891575,9.138677597,15.74770546,43.79292679,200.3198547,44.06977463,10.31030369,9.92856884,4.887308121,28.47543716,35.47112274,43.39403534,34.52599716,32.8990097,15.17999458,28.19337273,38.15933609,14.78090763,16.01240921,35.31282806,26.37451172,28.47939873
