Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/3/9,4862176,2051467,1366365,4750368,90738,3569482,1850784,12900,1129814,4335656,7706125,919094,658120,158560,327882,1108600,12272807,3231421,14225548,233300,6175164,12789700,2583000,20312,158868,3665530,11604,14968,1927375,29226
2000/3/10,3906336,1950756,632488,19168912,149951,2546618,2478067,17472,830035,8340854,5503663,1307200,644371,223949,602654,360300,8208133,2130571,13957507,170320,4271230,8001400,3313500,27048,203255,3831300,106965,17745,1726908,122628
2000/3/13,3200880,1687741,925037,10508761,856647,3576296,1231230,53301,944391,3939781,5008410,761934,387831,128890,314060,236371,10108758,0,0,328268,0,7795600,0,26709,0,5944730,11283,19990,1387483,64389
2000/3/14,2836704,2056533,513315,7403753,396243,5693460,1441687,37692,1462036,6560745,4570806,1379714,596313,120915,339061,376700,11059496,2651245,4790426,378450,4932042,7404400,3894000,14442,517413,2657050,2833,24370,614027,10602
2000/3/15,3182352,1578036,419897,9122383,224644,3916454,1485686,15300,10337143,5895809,7531814,4209284,395445,150259,619850,276734,10668638,1947691,3512464,467490,5873607,12302800,3199500,15464,463088,3691710,17027,9589,2130062,25719
2000/3/16,9444464,2631911,771736,16465924,184649,4706974,4476608,118065,9502690,12717035,6832522,2357944,625431,281658,399313,556618,33758169,4659336,3937077,480854,8523947,12031200,5259500,49142,342778,6448090,88647,23806,3053020,71094
2000/3/17,28764896,2321940,8198313,12250361,220705,50860560,31412184,35187,28719542,7646770,10231118,1722668,764479,136202,954386,481400,33344876,38739412,32515451,494392,109725968,11793300,5525500,35791,333768,8581540,449791,37464,2330587,44847
2000/3/20,1966688,1083911,381371,5064368,111408,5332800,1445044,10317,3251350,3931777,3046581,793424,292351,112307,192668,465500,12445411,2541051,3194924,276924,5763449,9802000,2507000,15578,91611,4091120,31467,11124,1098910,35628
2000/3/21,1528800,1858855,283902,11020632,135057,5705978,1729498,173901,3723320,7625185,5345078,1905414,271307,184353,130751,325700,18421944,3009372,2715251,364106,4844867,14868200,3300500,52498,127863,5503410,32379,36213,2478715,73944
2000/3/22,2636336,2209244,424586,9870591,194842,6519602,1578843,50670,3869253,10807093,7108473,1897746,397819,101570,353942,308500,37511569,4891969,3857249,380192,5152000,27753400,2706000,21027,173496,8352630,44413,60320,5187793,637467
